time,open,high,low,close,tick_volume,spread,real_volume
1724368140,1.11094,1.11104,1.11094,1.11098,9,0,0
1724368200,1.11098,1.11098,1.11094,1.1109499999999999,19,0,0
1724368260,1.1109499999999999,1.11099,1.1109499999999999,1.11097,20,0,0
1724368320,1.11097,1.11105,1.11096,1.11105,17,0,0
1724368380,1.11105,1.11107,1.11103,1.11104,16,0,0
1724368440,1.11104,1.11105,1.11097,1.11097,8,0,0
1724368500,1.11097,1.11099,1.1109499999999999,1.11097,7,0,0
1724368560,1.11097,1.111,1.11097,1.111,5,0,0
1724368620,1.111,1.111,1.11097,1.11097,8,0,0
1724368680,1.11097,1.11099,1.11096,1.11097,11,0,0
1724368740,1.11097,1.11097,1.11094,1.1109499999999999,14,0,0
1724368800,1.1109499999999999,1.1109499999999999,1.11088,1.11088,6,0,0
1724368860,1.11088,1.11088,1.11084,1.1108500000000001,4,0,0
1724368920,1.1108500000000001,1.1108500000000001,1.11084,1.11084,10,0,0
1724368980,1.11084,1.1108500000000001,1.11083,1.11084,8,0,0
1724369040,1.11084,1.1108500000000001,1.11078,1.11078,10,0,0
1724369100,1.11078,1.11079,1.11077,1.11078,9,0,0
1724369160,1.11078,1.11078,1.11077,1.11077,6,0,0
1724369220,1.11077,1.11078,1.11077,1.11078,4,0,0
1724369280,1.11078,1.11084,1.11078,1.11084,10,0,0
1724369340,1.11084,1.11084,1.11078,1.11082,15,0,0
1724369400,1.11082,1.11088,1.11082,1.11087,16,0,0
1724369460,1.11087,1.11098,1.11086,1.11098,11,0,0
1724369520,1.11098,1.11108,1.11098,1.11108,35,1,0
1724369580,1.1111,1.11116,1.11109,1.11113,13,0,0
1724369640,1.11113,1.11113,1.11109,1.11109,13,0,0
1724369700,1.1111,1.11111,1.11108,1.11109,8,0,0
1724369760,1.11108,1.11108,1.11105,1.11106,6,0,0
1724369820,1.11107,1.11107,1.11105,1.11106,7,0,0
1724369880,1.11106,1.11112,1.11106,1.11111,9,0,0
1724369940,1.11112,1.11115,1.1111,1.11111,12,0,0
1724370000,1.1111,1.11112,1.11109,1.11111,9,1,0
1724370060,1.1111,1.11111,1.11106,1.11106,8,1,0
1724370120,1.11107,1.11109,1.11105,1.11107,8,1,0
1724370180,1.11106,1.11107,1.11106,1.11107,4,0,0
1724370240,1.11107,1.11107,1.11105,1.11106,4,0,0
1724370300,1.11106,1.1111,1.11106,1.11108,10,0,0
1724370360,1.11107,1.11112,1.11106,1.11112,12,0,0
1724370420,1.11113,1.1112,1.11113,1.11118,11,0,0
1724370480,1.11119,1.11119,1.11116,1.11116,6,0,0
1724370540,1.11116,1.11117,1.11116,1.11117,2,1,0
1724370600,1.11117,1.11118,1.11115,1.11117,14,0,0
1724370660,1.11119,1.11121,1.11118,1.1112,19,0,0
1724370720,1.1112,1.11121,1.11116,1.11116,7,0,0
1724370780,1.11115,1.11116,1.1111,1.11113,16,0,0
1724370840,1.11114,1.11114,1.1111,1.11111,9,0,0
1724370900,1.11111,1.11113,1.1111,1.11113,4,1,0
1724370960,1.11113,1.11126,1.11113,1.11125,15,1,0
1724371020,1.11126,1.11131,1.1112,1.11122,35,1,0
1724371080,1.11122,1.11123,1.11111,1.11113,16,1,0
1724371200,1.1112,1.1112,1.11038,1.11038,5,7,0
1724371260,1.11038,1.11055,1.11038,1.1104,3,91,0
1724371320,1.11052,1.11052,1.1104,1.1104,2,95,0
1724371380,1.11049,1.11056,1.11036,1.11036,6,87,0
1724371440,1.11042,1.11099,1.11042,1.11097,6,56,0
1724371500,1.11096,1.11116,1.11096,1.11109,19,11,0
1724371560,1.11109,1.11113,1.11106,1.11106,17,17,0
1724371620,1.11106,1.11115,1.11106,1.11113,4,13,0
1724371680,1.11112,1.11117,1.1111,1.11117,11,14,0
1724371740,1.11117,1.11121,1.11114,1.11115,5,16,0
1724371800,1.11117,1.1112,1.11113,1.11115,8,16,0
1724371860,1.11117,1.11117,1.11114,1.11114,4,17,0
