time,open,high,low,close,tick_volume,spread,real_volume,rsi,rsi_signal
1724368200,1.11098,1.11098,1.11094,1.1109499999999999,19,0,0,0.0,buy
1724368320,1.11097,1.11105,1.11096,1.11105,17,0,0,76.92307692299809,sell
1724368380,1.11105,1.11107,1.11103,1.11104,16,0,0,71.42857142848081,sell
1724369100,1.11078,1.11079,1.11077,1.11078,9,0,0,26.82926829269482,buy
1724369160,1.11078,1.11078,1.11077,1.11077,6,0,0,8.823529411757022,buy
1724369220,1.11077,1.11078,1.11077,1.11078,4,0,0,11.764705882364467,buy
1724369340,1.11084,1.11084,1.11078,1.11082,15,0,0,28.571428571419503,buy
1724369700,1.1111,1.11111,1.11108,1.11109,8,0,0,73.07692307689024,sell
1724369760,1.11108,1.11108,1.11105,1.11106,6,0,0,70.37037037035209,sell
1724369820,1.11107,1.11107,1.11105,1.11106,7,0,0,70.37037037035209,sell
1724369880,1.11106,1.11112,1.11106,1.11111,9,0,0,81.13207547167124,sell
1724369940,1.11112,1.11115,1.1111,1.11111,12,0,0,81.13207547167124,sell
1724370000,1.1111,1.11112,1.11109,1.11111,9,1,0,82.69230769228963,sell
1724370060,1.1111,1.11111,1.11106,1.11106,8,1,0,74.99999999997027,sell
1724370120,1.11107,1.11109,1.11105,1.11107,8,1,0,72.54901960781838,sell
1724370180,1.11106,1.11107,1.11106,1.11107,4,0,0,75.51020408162432,sell
1724370240,1.11107,1.11107,1.11105,1.11106,4,0,0,71.11111111108809,sell
1724370600,1.11117,1.11118,1.11115,1.11117,14,0,0,70.37037037033078,sell
1724370660,1.11119,1.11121,1.11118,1.1112,19,0,0,73.33333333328892,sell
1724370960,1.11113,1.11126,1.11113,1.11125,15,1,0,71.42857142856388,sell
1724371200,1.1112,1.1112,1.11038,1.11038,5,7,0,22.222222222222214,buy
1724371260,1.11038,1.11055,1.11038,1.1104,3,91,0,20.96774193548994,buy
1724371320,1.11052,1.11052,1.1104,1.1104,2,95,0,16.94915254238404,buy
1724371380,1.11049,1.11056,1.11036,1.11036,6,87,0,16.666666666679006,buy
1724372040,1.11112,1.11115,1.1111,1.11111,8,17,0,85.43689320387868,sell
1724372100,1.11109,1.11113,1.11109,1.1111,7,17,0,84.31372549018413,sell
1724372160,1.11109,1.11112,1.11107,1.1111,11,16,0,84.31372549018413,sell
1724372220,1.1111,1.11113,1.11109,1.11112,16,15,0,87.99999999999201,sell
1724374080,1.11105,1.11107,1.11105,1.11105,7,9,0,29.411764705851624,buy
1724374140,1.11107,1.11107,1.11104,1.11105,7,9,0,29.411764705851624,buy
1724375640,1.11121,1.11133,1.11121,1.11133,17,0,0,71.42857142856236,sell
1724375700,1.11133,1.1114,1.11133,1.11138,18,0,0,78.94736842108031,sell
1724375760,1.11137,1.11139,1.11135,1.11136,10,0,0,83.33333333329222,sell
1724375820,1.11136,1.11136,1.11135,1.11136,7,0,0,85.71428571425852,sell
1724375880,1.11136,1.11137,1.11136,1.11136,7,0,0,88.23529411763553,sell
1724375940,1.11136,1.11139,1.11136,1.11138,11,0,0,94.11764705878895,sell
1724376000,1.11138,1.11141,1.11137,1.1114,9,0,0,93.74999999996096,sell
1724376060,1.1114,1.1114600000000001,1.1114,1.11145,12,0,0,94.4444444444136,sell
1724376120,1.11145,1.11147,1.11144,1.11145,12,0,0,94.11764705878895,sell
1724376180,1.1114600000000001,1.11147,1.11144,1.11147,15,0,0,94.44444444441018,sell
1724376240,1.11145,1.11148,1.11145,1.11147,22,0,0,94.28571428568166,sell
1724376300,1.11148,1.11152,1.11148,1.11152,14,0,0,94.87179487176567,sell
1724376360,1.11151,1.11151,1.11147,1.11151,16,0,0,91.66666666662042,sell
1724376420,1.11151,1.11152,1.11147,1.11149,14,0,0,86.4864864864654,sell
1724376480,1.11149,1.11151,1.11147,1.11149,24,0,0,80.76923076921763,sell
1724376540,1.11149,1.11152,1.11149,1.11152,10,0,0,79.16666666664354,sell
1724376600,1.11152,1.11152,1.11151,1.11152,5,0,0,86.36363636365472,sell
1724376660,1.11152,1.11152,1.1115,1.11152,7,0,0,86.36363636365472,sell
1724379120,1.11159,1.11166,1.11159,1.11164,40,0,0,74.00000000000443,sell
1724379180,1.11164,1.11167,1.11162,1.11164,14,0,0,78.72340425532016,sell
1724379240,1.11164,1.11167,1.11163,1.11167,6,0,0,79.16666666666089,sell
1724379540,1.11164,1.11166,1.11162,1.11166,25,0,0,74.19354838709215,sell
1724379600,1.11166,1.11169,1.11165,1.11168,21,0,0,83.33333333330866,sell
1724379660,1.11168,1.11169,1.11166,1.11168,16,0,0,82.75862068962613,sell
1724379720,1.11168,1.11171,1.11166,1.11168,11,0,0,79.99999999998224,sell
1724379780,1.11168,1.11169,1.11168,1.11169,2,0,0,80.76923076921763,sell
1724379840,1.11169,1.11169,1.11168,1.11169,3,0,0,76.19047619045605,sell
1724380080,1.11162,1.11162,1.11156,1.11156,9,0,0,28.000000000060396,buy
1724380140,1.11156,1.11156,1.11154,1.11154,7,0,0,25.925925925971626,buy
1724380920,1.11167,1.11171,1.11167,1.1117,5,0,0,76.92307692307035,sell
1724380980,1.1117,1.11172,1.11169,1.11169,19,0,0,80.00000000008882,sell
1724381040,1.11169,1.11169,1.11165,1.11167,38,0,0,70.83333333336803,sell
1724381100,1.11167,1.11168,1.11166,1.11168,18,0,0,72.00000000004263,sell
1724381160,1.11168,1.11173,1.11167,1.11172,17,0,0,70.83333333336803,sell
1724381220,1.11172,1.11174,1.11172,1.11174,25,0,0,72.00000000004263,sell
1724381340,1.11172,1.11173,1.11172,1.11172,11,0,0,75.00000000006939,sell
1724381400,1.11172,1.11174,1.11172,1.11172,9,0,0,78.26086956524257,sell
1724381460,1.11172,1.11173,1.11172,1.11172,31,0,0,78.26086956524257,sell
1724381520,1.11172,1.11178,1.11172,1.11178,10,0,0,82.75862068967629,sell
1724381580,1.11178,1.11179,1.11177,1.11178,17,0,0,80.76923076925377,sell
1724381640,1.11178,1.11179,1.11176,1.11176,6,0,0,74.0740740741289,sell
1724382000,1.11161,1.11161,1.11145,1.1114600000000001,43,0,0,20.454545454538575,buy
1724382060,1.1114600000000001,1.11157,1.11142,1.11151,49,0,0,25.53191489360897,buy
1724382120,1.11151,1.11158,1.11148,1.11152,61,0,0,28.260869565215287,buy
1724382180,1.11153,1.11156,1.11151,1.11151,26,0,0,27.65957446807907,buy
1724382240,1.11151,1.11157,1.11148,1.11148,27,0,0,25.999999999995566,buy
1724382300,1.11148,1.11152,1.11144,1.1114600000000001,13,0,0,25.0,buy
1724382360,1.1114600000000001,1.11153,1.1114600000000001,1.11147,17,0,0,17.021276595723577,buy
1724382420,1.11147,1.11151,1.1114600000000001,1.11147,17,0,0,17.021276595723577,buy
1724382480,1.11147,1.11147,1.11138,1.11138,17,0,0,14.814814814795014,buy
1724382540,1.11135,1.11136,1.1113,1.11132,56,0,0,13.793103448261334,buy
1724382600,1.11132,1.11137,1.11131,1.11137,37,0,0,24.074074074046663,buy
1724383320,1.11174,1.11182,1.11173,1.11179,36,0,0,78.08219178084441,sell
1724383380,1.11179,1.11186,1.11176,1.11184,55,0,0,86.11111111113166,sell
1724383440,1.11184,1.11194,1.1118,1.11188,44,0,0,85.91549295777027,sell
1724383500,1.11187,1.11189,1.11181,1.11186,44,0,0,80.95238095241619,sell
1724383560,1.11187,1.11189,1.11182,1.11182,21,0,0,76.11940298509936,sell
1724383620,1.11182,1.11184,1.11178,1.11183,37,0,0,82.53968253970044,sell
1724383680,1.11184,1.11198,1.11182,1.11195,59,0,0,84.05797101450861,sell
1724383740,1.11195,1.11198,1.11181,1.11188,47,0,0,74.64788732395688,sell
1724383800,1.11188,1.11201,1.11186,1.11201,71,0,0,83.54430379746978,sell
1724383860,1.11201,1.1120700000000001,1.11198,1.11206,48,0,0,83.75000000000277,sell
1724385240,1.11202,1.11225,1.11202,1.11219,62,0,0,76.47058823528131,sell
1724386620,1.11225,1.11228,1.11224,1.11224,57,0,0,73.49397590360479,sell
1724386680,1.11224,1.11236,1.11221,1.11235,72,0,0,75.82417582416885,sell
1724387100,1.11242,1.1125,1.11241,1.11249,44,0,0,72.49999999999098,sell
1724388420,1.11259,1.11266,1.11257,1.11264,32,0,0,77.45098039216198,sell
1724388480,1.11264,1.11278,1.11263,1.11278,42,0,0,79.46428571429014,sell
1724388540,1.11278,1.11283,1.11274,1.11283,39,0,0,77.22772277228093,sell
1724388600,1.11283,1.11284,1.11277,1.11282,25,0,0,74.46808510637946,sell
1724389020,1.11277,1.11282,1.11273,1.11278,56,0,0,72.72727272727273,sell
1724390400,1.11241,1.11241,1.11231,1.11232,29,0,0,26.530612244891017,buy
1724392440,1.11239,1.11245,1.11237,1.11238,21,0,0,21.428571428548764,buy
1724392500,1.11238,1.1124,1.11237,1.1124,13,0,0,24.137931034535555,buy
1724392560,1.1124,1.11242,1.11233,1.11241,21,0,0,28.57142857142857,buy
1724392980,1.11248,1.11254,1.11248,1.11252,27,0,0,73.33333333332347,sell
1724393040,1.11252,1.11254,1.1125,1.1125099999999999,17,0,0,70.96774193546077,sell
1724393280,1.11249,1.11253,1.11248,1.11252,55,0,0,70.58823529412149,sell
1724393640,1.11265,1.11266,1.11262,1.11264,17,0,0,70.73170731710618,sell
1724394960,1.11252,1.11252,1.11247,1.11248,21,0,0,28.57142857142857,buy
1724395020,1.11248,1.11249,1.11243,1.11248,16,0,0,29.78723404254717,buy
1724395260,1.11247,1.1125099999999999,1.11243,1.11243,23,0,0,21.739130434811997,buy
1724395320,1.11243,1.1125,1.11242,1.11248,19,0,0,29.999999999995566,buy
1724395620,1.11238,1.1124,1.11235,1.11237,21,0,0,26.19047619048375,buy
1724395680,1.11238,1.11239,1.11237,1.11238,27,0,0,29.268292682916268,buy
1724396400,1.11249,1.11261,1.11249,1.11261,30,0,0,74.46808510637996,sell
1724396460,1.11261,1.11266,1.11259,1.11264,23,0,0,77.55102040813182,sell
1724396520,1.11264,1.11266,1.11263,1.11265,38,0,0,77.55102040813182,sell
1724396580,1.11265,1.11271,1.11265,1.1127,14,0,0,79.24528301883868,sell
1724396640,1.1127,1.11275,1.1127,1.11275,39,0,0,82.45614035085259,sell
1724396700,1.11275,1.11275,1.1127,1.1127,31,0,0,79.66101694914298,sell
1724396760,1.11271,1.11276,1.11271,1.11276,36,0,0,80.64516129031219,sell
1724396820,1.11275,1.11277,1.11273,1.11275,41,0,0,75.9259259259008,sell
1724396880,1.11275,1.11282,1.11274,1.11281,15,0,0,75.47169811318936,sell
1724397120,1.1127,1.11275,1.1127,1.11275,40,0,0,70.49180327867718,sell
1724397180,1.11275,1.11276,1.11273,1.11274,32,0,0,70.49180327870285,sell
1724398320,1.11249,1.1125,1.11247,1.1125,40,0,0,5.128205128186153,buy
1724398380,1.1125,1.11254,1.11248,1.11248,19,0,0,4.999999999977788,buy
1724398440,1.11247,1.1125099999999999,1.11247,1.1125,22,0,0,9.523809523817079,buy
1724398500,1.1125,1.11252,1.11248,1.1125,14,0,0,9.756097560984855,buy
1724398560,1.1125099999999999,1.11258,1.1125099999999999,1.11256,23,0,0,21.739130434784713,buy
1724398620,1.11255,1.11256,1.11254,1.11254,24,0,0,28.571428571437636,buy
1724399100,1.11264,1.11271,1.11261,1.11271,16,0,0,80.55555555559667,sell
1724399160,1.11271,1.11271,1.1126800000000001,1.1126800000000001,4,0,0,73.68421052634962,sell
1724399220,1.1126800000000001,1.1127,1.1126800000000001,1.11269,10,0,0,78.37837837843676,sell
1724399280,1.11269,1.11269,1.1126800000000001,1.11269,9,0,0,77.1428571429079,sell
1724399340,1.11269,1.11269,1.1126800000000001,1.11269,3,0,0,77.1428571429079,sell
1724399400,1.11269,1.11269,1.1126800000000001,1.1126800000000001,4,0,0,70.00000000008141,sell
1724399460,1.1126800000000001,1.11271,1.11265,1.1127,13,0,0,76.66666666673821,sell
1724399520,1.1127,1.1128,1.1127,1.11279,17,0,0,80.00000000007613,sell
1724399580,1.11279,1.11279,1.11275,1.11275,18,0,0,70.27027027030272,sell
1724399760,1.11274,1.11279,1.11273,1.11279,12,0,0,70.27027027030272,sell
1724399880,1.11278,1.11279,1.11278,1.11278,9,0,0,70.58823529417526,sell
1724400900,1.11263,1.11263,1.11256,1.11257,17,0,0,21.21212121212936,buy
1724400960,1.11257,1.11259,1.11256,1.11259,18,0,0,26.470588235288346,buy
1724401620,1.11282,1.1129,1.11281,1.11286,13,0,0,73.33333333334649,sell
1724401740,1.11279,1.11281,1.11278,1.11278,10,0,0,73.33333333334649,sell
1724401800,1.11278,1.11278,1.11273,1.11277,14,0,0,70.45454545455348,sell
1724402400,1.11263,1.11264,1.11262,1.11263,13,0,0,28.88888888891192,buy
1724402460,1.11263,1.11264,1.11259,1.11259,10,0,0,20.00000000001974,buy
1724402520,1.11259,1.11261,1.11254,1.11256,42,0,0,21.951219512217577,buy
1724402580,1.11256,1.11256,1.11248,1.11249,26,0,0,19.148936170226833,buy
1724402640,1.11249,1.1125,1.11248,1.11249,12,0,0,19.56521739132114,buy
1724403720,1.11228,1.11233,1.11224,1.11231,85,0,0,27.710843373484636,buy
1724403780,1.11229,1.11229,1.11223,1.11225,57,0,0,23.255813953483568,buy
1724403840,1.11225,1.1123,1.11222,1.11229,83,0,0,24.137931034483643,buy
1724403900,1.11229,1.11233,1.11227,1.1123,18,0,0,25.00000000000631,buy
1724403960,1.1123,1.11239,1.1123,1.1123,53,0,0,21.428571428575196,buy
1724404020,1.1123,1.11236,1.11229,1.11233,87,0,0,26.92307692308239,buy
1724404140,1.11229,1.11234,1.11228,1.11229,30,0,0,26.15384615384511,buy
1724404200,1.11229,1.11229,1.11218,1.1122,30,0,0,20.83333333334491,buy
1724404260,1.1122,1.1122,1.11213,1.11218,34,0,0,21.7391304347868,buy
1724404320,1.11218,1.1122,1.11216,1.11218,35,0,0,19.402985074643198,buy
1724404380,1.11218,1.11226,1.11218,1.11221,25,0,0,20.588235294114767,buy
1724404440,1.11221,1.11221,1.11217,1.11217,21,0,0,28.000000000008882,buy
1724404560,1.11213,1.11216,1.11208,1.11213,19,0,0,27.500000000016655,buy
1724404680,1.11216,1.11216,1.11208,1.11208,35,0,0,24.39024390243506,buy
1724404740,1.11208,1.11209,1.11205,1.11205,26,0,0,20.930232558125127,buy
1724404800,1.11205,1.11208,1.11205,1.1120700000000001,24,0,0,24.444444444453225,buy
1724404860,1.1120700000000001,1.11215,1.11203,1.11204,37,0,0,17.77777777778435,buy
1724405580,1.11225,1.11231,1.11224,1.11229,16,0,0,71.4285714285601,sell
1724405640,1.11229,1.1123,1.11226,1.1123,33,0,0,70.90909090907623,sell
1724405700,1.1123,1.11239,1.11229,1.11235,22,0,0,77.19298245614513,sell
1724405760,1.11235,1.11241,1.11234,1.11241,21,0,0,76.36363636363564,sell
1724405820,1.11241,1.11247,1.11241,1.11245,17,0,0,77.19298245614513,sell
1724405880,1.11245,1.1125099999999999,1.11245,1.11248,25,0,0,72.91666666666377,sell
1724405940,1.11248,1.1126,1.11248,1.1126,20,0,0,77.96610169491653,sell
1724406000,1.1126,1.11266,1.11258,1.11265,28,0,0,78.33333333333704,sell
1724406060,1.11265,1.11266,1.11259,1.11264,46,0,0,77.04918032789212,sell
1724406120,1.11264,1.11267,1.11259,1.11265,26,0,0,76.666666666679,sell
1724406180,1.11264,1.11271,1.11264,1.11271,23,0,0,82.53968253970044,sell
1724406240,1.11271,1.11271,1.11269,1.1127,10,0,0,79.6610169491653,sell
1724406300,1.11271,1.11271,1.1126800000000001,1.11269,9,0,0,79.66101694913533,sell
1724406360,1.11269,1.11271,1.1126,1.11265,25,0,0,87.037037037034,sell
1724406420,1.11265,1.1127,1.11263,1.11269,32,0,0,87.037037037034,sell
1724406480,1.11269,1.11271,1.1126800000000001,1.1126800000000001,33,0,0,85.18518518520499,sell
1724406540,1.1126800000000001,1.11286,1.11266,1.11286,43,0,0,88.05970149255364,sell
1724406600,1.11286,1.11287,1.11279,1.11286,51,0,0,86.88524590165784,sell
1724406660,1.11286,1.11304,1.11286,1.113,33,0,0,88.73239436621348,sell
1724406720,1.113,1.11303,1.11289,1.1129,60,0,0,76.92307692309006,sell
1724406960,1.11301,1.11306,1.11295,1.11305,36,0,0,70.83333333333623,sell
1724408700,1.11242,1.11249,1.11241,1.11249,21,0,0,28.225806451607994,buy
1724408820,1.11242,1.1125099999999999,1.11242,1.11243,41,0,0,27.678571428574088,buy
1724408880,1.11243,1.11243,1.11236,1.11237,38,0,0,20.183486238541448,buy
1724408940,1.11237,1.11238,1.11221,1.11224,54,0,0,20.370370370372655,buy
1724409000,1.11224,1.11232,1.11217,1.11221,85,0,0,21.78217821782397,buy
1724409060,1.11221,1.11225,1.11216,1.11222,29,0,0,25.274725274733044,buy
1724409120,1.11222,1.11223,1.11212,1.11213,28,0,0,22.222222222227217,buy
1724409180,1.11212,1.11221,1.11203,1.1122,65,0,0,28.431372549024942,buy
1724409240,1.1122,1.11222,1.11216,1.1122,26,0,0,29.29292929293382,buy
1724409300,1.1122,1.11227,1.1122,1.11222,54,0,0,25.5319148936145,buy
1724409360,1.11223,1.11225,1.11215,1.11217,25,0,0,19.35483870968281,buy
1724409480,1.1122,1.11226,1.11204,1.11204,88,0,0,26.250000000001037,buy
1724409540,1.11204,1.11206,1.11178,1.1118,87,0,0,14.432989690722593,buy
1724409600,1.1118,1.11183,1.1114600000000001,1.11149,82,0,0,11.57024793388733,buy
1724409660,1.11149,1.11158,1.11143,1.11149,75,0,0,10.833333333331495,buy
1724409720,1.11149,1.11162,1.11145,1.11161,50,0,0,19.84126984126172,buy
1724409780,1.11161,1.11174,1.11161,1.11171,68,0,0,28.45528455284216,buy
1724409840,1.11171,1.11174,1.11155,1.11156,49,0,0,25.925925925924105,buy
1724409900,1.11156,1.11168,1.11155,1.11162,71,0,0,28.571428571421777,buy
1724409960,1.11162,1.11163,1.11155,1.11157,45,0,0,29.41176470587179,buy
1724410020,1.11157,1.11157,1.11133,1.11142,55,0,0,22.91666666665607,buy
1724410080,1.11142,1.11156,1.11137,1.11138,31,0,0,22.29729729728615,buy
1724410140,1.11137,1.11149,1.11136,1.11147,53,0,0,25.806451612894435,buy
1724410200,1.11147,1.11149,1.11127,1.11132,76,0,0,24.24242424241568,buy
1724410260,1.11132,1.11147,1.11126,1.11147,45,0,0,29.378531073435767,buy
1724410860,1.11209,1.1121,1.11202,1.11205,50,0,0,76.92307692307546,sell
1724410920,1.11205,1.11217,1.11201,1.11208,67,0,0,80.1724137931046,sell
1724411040,1.11179,1.11193,1.11176,1.11187,50,0,0,71.31782945736114,sell
1724412540,1.11219,1.11226,1.11219,1.11225,58,0,0,70.4545454545357,sell
1724416920,1.11229,1.11229,1.11219,1.11223,52,0,0,26.19047619047116,buy
1724417040,1.11224,1.11227,1.11218,1.11218,45,0,0,29.870129870114525,buy
1724417100,1.11219,1.11219,1.11212,1.11217,38,0,0,23.61111111110084,buy
1724417160,1.11217,1.11221,1.11213,1.11213,34,0,0,18.055555555534994,buy
1724417220,1.11213,1.11218,1.11213,1.11215,43,0,0,21.126760563351212,buy
1724417280,1.11215,1.11215,1.11209,1.11212,49,0,0,18.055555555534994,buy
1724417340,1.11212,1.11212,1.11197,1.11197,23,0,0,16.249999999978485,buy
1724417400,1.11197,1.11204,1.11193,1.11203,35,0,0,16.249999999978485,buy
1724417460,1.11203,1.11208,1.11197,1.11197,53,0,0,15.66265060238483,buy
1724417520,1.11197,1.11201,1.11187,1.11198,54,0,0,18.181818181799827,buy
1724417580,1.11198,1.11204,1.11188,1.11188,48,0,0,12.048192771084658,buy
1724417640,1.11188,1.11189,1.11176,1.11179,66,0,0,11.363636363635209,buy
1724417700,1.11177,1.1118,1.1117,1.11176,48,0,0,13.698630136986722,buy
1724417760,1.11176,1.11178,1.11168,1.11173,33,0,0,14.285714285714292,buy
1724417820,1.11173,1.11179,1.11173,1.11176,40,0,0,16.66666666668209,buy
1724417880,1.11176,1.11181,1.11173,1.11178,38,0,0,20.58823529412149,buy
1724417940,1.11178,1.11182,1.11171,1.11173,43,0,0,19.444444444447015,buy
1724418000,1.11173,1.11173,1.11167,1.11168,26,0,0,19.178082191781655,buy
1724418060,1.11168,1.11169,1.11156,1.11158,36,0,0,14.814814814825993,buy
1724418120,1.11158,1.11166,1.11158,1.11161,28,0,0,18.518518518525624,buy
1724418180,1.11162,1.11162,1.11154,1.11162,47,0,0,23.880597014943177,buy
1724418240,1.11162,1.11167,1.1116,1.1116,22,0,0,15.873015873010843,buy
1724419320,1.11168,1.11169,1.11163,1.11163,25,0,0,25.9259259259249,buy
1724419380,1.11163,1.11169,1.1116,1.11169,44,0,0,27.710843373503963,buy
1724419440,1.11169,1.11169,1.11161,1.11165,20,0,0,28.048780487817098,buy
1724420640,1.11195,1.11213,1.11195,1.11213,50,0,0,70.29702970297225,sell
1724420700,1.11213,1.1122,1.11211,1.1122,38,0,0,74.28571428571489,sell
